directory,functions,tested,tag
arch/arm/mach-ux500,106,0,v3.0
arch/arm/mach-versatile,25,0,v3.0
arch/arm/mach-vexpress,32,0,v3.0
arch/arm/mach-vt8500,47,0,v3.0
arch/arm/mach-w90x900,49,0,v3.0
arch/arm/mm,270,0,v3.0
arch/arm/nwfpe,128,0,v3.0
arch/arm/oprofile,6,0,v3.0
arch/arm/plat-iop,38,0,v3.0
arch/arm/plat-mxc,154,0,v3.0
arch/arm/plat-nomadik,6,0,v3.0
arch/arm/plat-omap,425,0,v3.0
arch/arm/plat-orion,75,0,v3.0
arch/arm/plat-pxa,54,0,v3.0
arch/arm/plat-s3c24xx,189,0,v3.0
arch/arm/plat-s5p,68,0,v3.0
arch/arm/plat-samsung,226,0,v3.0
arch/arm/plat-spear,50,0,v3.0
arch/arm/plat-tcc,10,0,v3.0
arch/arm/plat-versatile,25,0,v3.0
arch/arm/vfp,85,0,v3.0
arch/avr32/boards,63,0,v3.0
arch/avr32/kernel,138,2,v3.0
arch/avr32/lib,5,0,v3.0
arch/avr32/mach-at32ap,127,0,v3.0
arch/avr32/mm,42,0,v3.0
arch/avr32/oprofile,12,0,v3.0
arch/blackfin/kernel,362,5,v3.0
arch/blackfin/lib,3,0,v3.0
arch/blackfin/mach-bf518,10,0,v3.0
arch/blackfin/mach-bf527,22,0,v3.0
arch/blackfin/mach-bf533,17,0,v3.0
arch/blackfin/mach-bf537,38,0,v3.0
arch/blackfin/mach-bf538,12,0,v3.0
arch/blackfin/mach-bf548,6,0,v3.0
arch/blackfin/mach-bf561,27,0,v3.0
arch/blackfin/mach-common,91,0,v3.0
arch/blackfin/mm,50,0,v3.0
arch/blackfin/oprofile,2,0,v3.0
arch/cris/arch-v10,218,4,v3.0
arch/cris/arch-v32,366,2,v3.0
arch/cris/boot,15,3,v3.0
arch/cris/kernel,46,1,v3.0
arch/cris/mm,12,2,v3.0
arch/frv/kernel,213,2,v3.0
arch/frv/lib,6,0,v3.0
arch/frv/mb93090-mb00,36,2,v3.0
arch/frv/mm,41,1,v3.0
arch/h8300/boot,7,3,v3.0
arch/h8300/kernel,88,1,v3.0
arch/h8300/lib,8,0,v3.0
arch/h8300/mm,13,1,v3.0
arch/h8300/platform,16,0,v3.0
arch/ia64/dig,1,0,v3.0
arch/ia64/hp,136,0,v3.0
arch/ia64/kernel,953,4,v3.0
arch/ia64/kvm,320,1,v3.0
arch/ia64/lib,27,0,v3.0
arch/ia64/mm,97,2,v3.0
arch/ia64/oprofile,12,0,v3.0
arch/ia64/pci,34,0,v3.0
arch/ia64/sn,293,0,v3.0
arch/ia64/uv,2,0,v3.0
arch/ia64/xen,83,0,v3.0
arch/m32r/boot,5,2,v3.0
arch/m32r/kernel,156,1,v3.0
arch/m32r/lib,13,0,v3.0
arch/m32r/mm,30,2,v3.0
arch/m32r/oprofile,2,0,v3.0
arch/m32r/platforms,299,0,v3.0
arch/m68k/amiga,46,0,v3.0
arch/m68k/apollo,19,0,v3.0
arch/m68k/atari,79,0,v3.0
arch/m68k/bvme6000,15,0,v3.0
arch/m68k/emu,30,0,v3.0
arch/m68k/hp300,12,0,v3.0
arch/m68k/kernel,210,4,v3.0
arch/m68k/lib,24,4,v3.0
arch/m68k/mac,113,0,v3.0
arch/m68k/math-emu,46,0,v3.0
arch/m68k/mm,42,2,v3.0
arch/m68k/mvme147,15,0,v3.0
arch/m68k/mvme16x,17,0,v3.0
arch/m68k/platform,229,0,v3.0
arch/m68k/q40,26,0,v3.0
arch/m68k/sun3,58,0,v3.0
arch/m68k/sun3x,20,0,v3.0
arch/m68k/tools,1,0,v3.0
arch/microblaze/kernel,174,2,v3.0
arch/microblaze/lib,7,2,v3.0
arch/microblaze/mm,30,1,v3.0
arch/microblaze/oprofile,2,0,v3.0
arch/microblaze/pci,71,0,v3.0
arch/microblaze/platform,1,0,v3.0
arch/mips/alchemy,186,0,v3.0
arch/mips/ar7,70,0,v3.0
arch/mips/ath79,57,0,v3.0
arch/mips/bcm47xx,27,0,v3.0
arch/mips/bcm63xx,75,0,v3.0
arch/mips/boot,24,3,v3.0
arch/mips/cavium-octeon,169,0,v3.0
arch/mips/cobalt,18,0,v3.0
arch/mips/dec,69,0,v3.0
arch/mips/emma,29,0,v3.0
arch/mips/fw,82,0,v3.0
arch/mips/jazz,30,0,v3.0
arch/mips/jz4740,155,0,v3.0
arch/mips/kernel,730,2,v3.0
arch/mips/lantiq,98,0,v3.0
arch/mips/lasat,95,0,v3.0
arch/mips/lib,42,6,v3.0
arch/mips/loongson,108,0,v3.0
arch/mips/math-emu,91,0,v3.0
arch/mips/mipssim,28,0,v3.0
arch/mips/mm,341,0,v3.0
arch/mips/mti-malta,73,0,v3.0
arch/mips/netlogic,39,0,v3.0
arch/mips/nxp,4,0,v3.0
arch/mips/oprofile,34,0,v3.0
arch/mips/pci,335,0,v3.0
arch/mips/pmc-sierra,158,0,v3.0
arch/mips/pnx833x,27,0,v3.0
arch/mips/pnx8550,40,0,v3.0
arch/mips/power,3,0,v3.0
arch/mips/powertv,61,0,v3.0
arch/mips/rb532,41,0,v3.0
arch/mips/sgi-ip22,66,0,v3.0
arch/mips/sgi-ip27,102,0,v3.0
arch/mips/sgi-ip32,47,0,v3.0
arch/mips/sibyte,97,0,v3.0
arch/mips/sni,62,0,v3.0
arch/mips/txx9,234,0,v3.0
arch/mips/vr41xx,64,0,v3.0
arch/mips/wrppmc,16,0,v3.0
arch/mn10300/boot,19,3,v3.0
arch/mn10300/kernel,285,1,v3.0
arch/mn10300/lib,22,0,v3.0
arch/mn10300/mm,60,0,v3.0
arch/mn10300/oprofile,2,0,v3.0
arch/mn10300/proc-mn103e010,2,0,v3.0
arch/mn10300/proc-mn2ws0050,2,0,v3.0
arch/mn10300/unit-asb2303,7,0,v3.0
arch/mn10300/unit-asb2305,42,0,v3.0
arch/mn10300/unit-asb2364,14,0,v3.0
arch/parisc/hpux,29,0,v3.0
arch/parisc/kernel,436,2,v3.0
arch/parisc/lib,76,9,v3.0
arch/parisc/math-emu,55,0,v3.0
arch/parisc/mm,22,1,v3.0
arch/parisc/oprofile,2,0,v3.0
arch/powerpc/boot,267,4,v3.0
arch/powerpc/kernel,1411,9,v3.0
arch/powerpc/kvm,329,0,v3.0
arch/powerpc/lib,92,2,v3.0
arch/powerpc/math-emu,48,0,v3.0
arch/powerpc/mm,350,2,v3.0
arch/powerpc/oprofile,123,0,v3.0
arch/powerpc/platforms,3111,0,v3.0
arch/powerpc/sysdev,718,0,v3.0
arch/powerpc/xmon,159,0,v3.0
arch/s390/appldata,26,0,v3.0
arch/s390/boot,7,3,v3.0
arch/s390/crypto,89,0,v3.0
arch/s390/hypfs,79,0,v3.0
arch/s390/kernel,626,2,v3.0
arch/s390/kvm,96,0,v3.0
arch/s390/lib,72,7,v3.0
arch/s390/math-emu,104,0,v3.0
arch/s390/mm,131,0,v3.0
arch/s390/oprofile,51,0,v3.0
arch/score/kernel,96,1,v3.0
arch/score/lib,7,0,v3.0
arch/score/mm,34,0,v3.0
arch/sh/boards,283,0,v3.0
arch/sh/boot,7,3,v3.0
arch/sh/cchips,5,0,v3.0
arch/sh/drivers,155,0,v3.0
arch/sh/kernel,879,10,v3.0
arch/sh/lib,10,0,v3.0
arch/sh/lib64,10,0,v3.0
arch/sh/math-emu,37,0,v3.0
arch/sh/mm,272,0,v3.0
