directory,functions,tested,tag
arch/powerpc/kexec,42,0,v5.7
arch/powerpc/kvm,1226,0,v5.7
arch/powerpc/lib,168,18,v5.7
arch/powerpc/math-emu,50,6,v5.7
arch/powerpc/mm,781,4,v5.7
arch/powerpc/net,25,0,v5.7
arch/powerpc/oprofile,118,0,v5.7
arch/powerpc/perf,306,1,v5.7
arch/powerpc/platforms,3611,1,v5.7
arch/powerpc/sysdev,649,0,v5.7
arch/powerpc/xmon,223,3,v5.7
arch/riscv/kernel,211,1,v5.7
arch/riscv/lib,3,2,v5.7
arch/riscv/mm,68,0,v5.7
arch/riscv/net,61,0,v5.7
arch/s390/appldata,22,0,v5.7
arch/s390/boot,54,3,v5.7
arch/s390/crypto,184,2,v5.7
arch/s390/hypfs,91,0,v5.7
arch/s390/kernel,964,5,v5.7
arch/s390/kvm,478,1,v5.7
arch/s390/lib,80,17,v5.7
arch/s390/mm,331,0,v5.7
arch/s390/net,26,1,v5.7
arch/s390/numa,2,0,v5.7
arch/s390/oprofile,3,0,v5.7
arch/s390/pci,183,3,v5.7
arch/s390/purgatory,1,0,v5.7
arch/s390/tools,15,0,v5.7
arch/sh/boards,277,0,v5.7
arch/sh/boot,9,4,v5.7
arch/sh/cchips,5,0,v5.7
arch/sh/drivers,160,1,v5.7
arch/sh/kernel,810,10,v5.7
arch/sh/lib,10,0,v5.7
arch/sh/lib64,5,0,v5.7
arch/sh/math-emu,36,1,v5.7
arch/sh/mm,266,1,v5.7
arch/sh/oprofile,7,0,v5.7
arch/sparc/boot,10,2,v5.7
arch/sparc/crypto,99,0,v5.7
arch/sparc/kernel,1582,6,v5.7
arch/sparc/lib,24,2,v5.7
arch/sparc/math-emu,5,0,v5.7
arch/sparc/mm,304,0,v5.7
arch/sparc/net,39,0,v5.7
arch/sparc/oprofile,6,0,v5.7
arch/sparc/power,3,0,v5.7
arch/sparc/prom,95,0,v5.7
arch/sparc/vdso,37,2,v5.7
arch/um/drivers,548,3,v5.7
arch/um/kernel,222,3,v5.7
arch/um/os-Linux,223,4,v5.7
arch/unicore32/boot,3,2,v5.7
arch/unicore32/kernel,163,2,v5.7
arch/unicore32/mm,65,0,v5.7
arch/x86/boot,190,16,v5.7
arch/x86/crypto,424,5,v5.7
arch/x86/entry,53,2,v5.7
arch/x86/events,778,1,v5.7
arch/x86/hyperv,47,0,v5.7
arch/x86/ia32,13,0,v5.7
arch/x86/kernel,3270,25,v5.7
arch/x86/kvm,2105,3,v5.7
arch/x86/lib,146,19,v5.7
arch/x86/math-emu,173,1,v5.7
arch/x86/mm,693,23,v5.7
arch/x86/net,80,0,v5.7
arch/x86/oprofile,80,0,v5.7
arch/x86/pci,291,1,v5.7
arch/x86/platform,494,3,v5.7
arch/x86/power,36,0,v5.7
arch/x86/purgatory,3,0,v5.7
arch/x86/realmode,8,1,v5.7
arch/x86/tools,50,3,v5.7
arch/x86/um,105,1,v5.7
arch/x86/video,1,0,v5.7
arch/x86/xen,428,0,v5.7
arch/xtensa/boot,3,2,v5.7
arch/xtensa/kernel,210,1,v5.7
arch/xtensa/lib,5,0,v5.7
arch/xtensa/mm,48,0,v5.7
arch/xtensa/oprofile,4,0,v5.7
arch/xtensa/platforms,79,0,v5.7
drivers/accessibility/braille,9,0,v5.7
drivers/acpi/acpica,922,26,v5.7
drivers/acpi/apei,170,0,v5.7
drivers/acpi/arm64,68,0,v5.7
drivers/acpi/dptf,4,0,v5.7
drivers/acpi/nfit,143,7,v5.7
drivers/acpi/numa,48,0,v5.7
drivers/acpi/pmic,53,0,v5.7
drivers/acpi/x86,2,0,v5.7
drivers/base/firmware_loader,96,3,v5.7
drivers/base/power,449,1,v5.7
drivers/base/regmap,303,0,v5.7
drivers/base/test,11,2,v5.7
drivers/block/aoe,119,3,v5.7
drivers/block/drbd,720,1,v5.7
drivers/block/mtip32xx,98,0,v5.7
drivers/block/paride,366,0,v5.7
drivers/block/rsxx,116,0,v5.7
drivers/block/xen-blkback,65,2,v5.7
drivers/block/zram,94,0,v5.7
drivers/bus/fsl-mc,126,0,v5.7
drivers/bus/mhi,106,0,v5.7
drivers/char/agp,405,0,v5.7
drivers/char/hw_random,272,0,v5.7
drivers/char/ipmi,515,1,v5.7
drivers/char/mwave,42,0,v5.7
drivers/char/pcmcia,167,3,v5.7
drivers/char/tpm,425,2,v5.7
drivers/char/xilinx_hwicap,39,0,v5.7
drivers/char/xillybus,37,0,v5.7
drivers/clk/actions,62,0,v5.7
drivers/clk/analogbits,7,0,v5.7
drivers/clk/at91,232,0,v5.7
drivers/clk/axis,2,0,v5.7
drivers/clk/axs10x,21,0,v5.7
drivers/clk/bcm,205,0,v5.7
drivers/clk/berlin,21,0,v5.7
drivers/clk/davinci,92,0,v5.7
drivers/clk/h8300,5,0,v5.7
drivers/clk/hisilicon,102,0,v5.7
drivers/clk/imgtec,2,0,v5.7
drivers/clk/imx,231,0,v5.7
drivers/clk/ingenic,57,0,v5.7
drivers/clk/keystone,37,0,v5.7
drivers/clk/loongson1,5,0,v5.7
drivers/clk/mediatek,184,0,v5.7
drivers/clk/meson,101,0,v5.7
drivers/clk/microchip,44,0,v5.7
drivers/clk/mmp,71,0,v5.7
drivers/clk/mvebu,133,0,v5.7
drivers/clk/mxs,28,0,v5.7
drivers/clk/nxp,72,0,v5.7
drivers/clk/pistachio,32,0,v5.7
drivers/clk/pxa,64,0,v5.7
drivers/clk/qcom,418,0,v5.7
drivers/clk/renesas,149,0,v5.7
drivers/clk/rockchip,96,0,v5.7
drivers/clk/samsung,180,0,v5.7
drivers/clk/sifive,15,0,v5.7
drivers/clk/sirf,38,0,v5.7
drivers/clk/socfpga,47,0,v5.7
drivers/clk/spear,33,0,v5.7
drivers/clk/sprd,38,0,v5.7
drivers/clk/st,67,0,v5.7
drivers/clk/sunxi,122,0,v5.7
drivers/clk/sunxi-ng,146,0,v5.7
drivers/clk/tegra,401,0,v5.7
drivers/clk/ti,291,0,v5.7
drivers/clk/uniphier,16,0,v5.7
drivers/clk/ux500,42,0,v5.7
drivers/clk/versatile,26,0,v5.7
drivers/clk/x86,24,0,v5.7
drivers/clk/zte,35,0,v5.7
drivers/clk/zynq,10,0,v5.7
drivers/clk/zynqmp,42,0,v5.7
drivers/cpuidle/governors,25,0,v5.7
drivers/crypto/allwinner,92,0,v5.7
drivers/crypto/amcc,92,0,v5.7
drivers/crypto/amlogic,19,0,v5.7
drivers/crypto/axis,81,0,v5.7
drivers/crypto/bcm,150,0,v5.7
drivers/crypto/caam,401,0,v5.7
drivers/crypto/cavium,330,0,v5.7
drivers/crypto/ccp,325,0,v5.7
drivers/crypto/ccree,202,0,v5.7
drivers/crypto/chelsio,360,0,v5.7
drivers/crypto/hisilicon,432,0,v5.7
drivers/crypto/inside-secure,268,0,v5.7
drivers/crypto/marvell,338,0,v5.7
drivers/crypto/mediatek,115,0,v5.7
drivers/crypto/nx,139,0,v5.7
drivers/crypto/qat,487,0,v5.7
drivers/crypto/qce,62,0,v5.7
drivers/crypto/rockchip,56,0,v5.7
drivers/crypto/stm32,143,0,v5.7
drivers/crypto/ux500,108,0,v5.7
drivers/crypto/virtio,46,0,v5.7
drivers/crypto/vmx,30,0,v5.7
drivers/crypto/xilinx,11,0,v5.7
drivers/dax/pmem,9,0,v5.7
drivers/devfreq/event,25,0,v5.7
drivers/dma-buf/heaps,24,0,v5.7
drivers/dma/bestcomm,36,0,v5.7
drivers/dma/dw,83,0,v5.7
drivers/dma/dw-axi-dmac,53,0,v5.7
drivers/dma/dw-edma,60,0,v5.7
drivers/dma/fsl-dpaa2-qdma,38,0,v5.7
drivers/dma/hsu,25,0,v5.7
drivers/dma/idxd,159,0,v5.7
drivers/dma/ioat,108,0,v5.7
drivers/dma/ipu,61,0,v5.7
drivers/dma/mediatek,87,0,v5.7
drivers/dma/ppc4xx,93,0,v5.7
drivers/dma/qcom,104,0,v5.7
drivers/dma/sf-pdma,29,0,v5.7
drivers/dma/sh,161,0,v5.7
drivers/dma/ti,327,0,v5.7
drivers/dma/xilinx,100,0,v5.7
drivers/firmware/arm_scmi,132,2,v5.7
drivers/firmware/broadcom,33,0,v5.7
drivers/firmware/efi,364,14,v5.7
drivers/firmware/google,62,0,v5.7
drivers/firmware/imx,29,0,v5.7
drivers/firmware/meson,9,0,v5.7
drivers/firmware/psci,49,0,v5.7
drivers/firmware/tegra,108,0,v5.7
drivers/firmware/xilinx,42,0,v5.7
drivers/gpu/drm,40659,323,v5.7
drivers/gpu/host1x,212,0,v5.7
drivers/gpu/ipu-v3,276,1,v5.7
drivers/gpu/vga,65,0,v5.7
drivers/hid/i2c-hid,35,0,v5.7
drivers/hid/intel-ish-hid,192,1,v5.7
drivers/hid/usbhid,118,0,v5.7
drivers/hsi/clients,149,0,v5.7
drivers/hsi/controllers,67,0,v5.7
drivers/hwmon/occ,33,0,v5.7
drivers/hwmon/pmbus,204,0,v5.7
drivers/hwtracing/coresight,644,0,v5.7
drivers/hwtracing/intel_th,170,0,v5.7
drivers/hwtracing/stm,111,0,v5.7
drivers/i2c/algos,48,1,v5.7
drivers/i2c/busses,2051,0,v5.7
drivers/i2c/muxes,76,0,v5.7
drivers/i3c/master,178,0,v5.7
drivers/iio/accel,485,0,v5.7
drivers/iio/adc,1317,0,v5.7
drivers/iio/afe,9,0,v5.7
drivers/iio/amplifiers,12,0,v5.7
drivers/iio/buffer,74,0,v5.7
drivers/iio/chemical,97,0,v5.7
drivers/iio/common,156,0,v5.7
drivers/iio/dac,432,0,v5.7
drivers/iio/dummy,25,0,v5.7
drivers/iio/frequency,33,0,v5.7
drivers/iio/gyro,191,0,v5.7
drivers/iio/health,50,0,v5.7
drivers/iio/humidity,68,0,v5.7
drivers/iio/imu,287,0,v5.7
drivers/iio/light,766,0,v5.7
drivers/iio/magnetometer,174,0,v5.7
drivers/iio/multiplexer,9,0,v5.7
drivers/iio/orientation,18,0,v5.7
drivers/iio/position,8,0,v5.7
drivers/iio/potentiometer,40,0,v5.7
drivers/iio/potentiostat,9,0,v5.7
drivers/iio/pressure,239,0,v5.7
drivers/iio/proximity,123,0,v5.7
drivers/iio/resolver,4,0,v5.7
drivers/iio/temperature,129,0,v5.7
drivers/iio/trigger,55,0,v5.7
drivers/infiniband/core,1555,4,v5.7
drivers/infiniband/hw,6476,3,v5.7
drivers/infiniband/sw,598,2,v5.7
drivers/infiniband/ulp,735,0,v5.7
drivers/input/gameport,58,0,v5.7
drivers/input/joystick,324,1,v5.7
drivers/input/keyboard,655,0,v5.7
drivers/input/misc,745,0,v5.7
drivers/input/mouse,798,0,v5.7
drivers/input/rmi4,240,0,v5.7
drivers/input/serio,389,1,v5.7
drivers/input/tablet,95,0,v5.7
drivers/input/touchscreen,1323,0,v5.7
drivers/interconnect/qcom,33,0,v5.7
drivers/ipack/carriers,23,0,v5.7
drivers/ipack/devices,26,0,v5.7
drivers/isdn/capi,113,0,v5.7
drivers/isdn/hardware,408,1,v5.7
drivers/isdn/mISDN,391,2,v5.7
drivers/leds/trigger,121,0,v5.7
drivers/macintosh/ams,35,0,v5.7
drivers/md/bcache,436,1,v5.7
drivers/md/persistent-data,318,5,v5.7
drivers/media/cec,129,0,v5.7
drivers/media/common,580,0,v5.7
drivers/media/dvb-core,279,2,v5.7
drivers/media/dvb-frontends,3250,17,v5.7
drivers/media/firewire,88,0,v5.7
drivers/media/i2c,3284,1,v5.7
drivers/media/mc,108,0,v5.7
drivers/media/mmc,6,0,v5.7
drivers/media/pci,3884,5,v5.7
drivers/media/platform,6046,4,v5.7
drivers/media/radio,639,2,v5.7
drivers/media/rc,986,2,v5.7
drivers/media/spi,28,0,v5.7
drivers/media/tuners,656,0,v5.7
drivers/media/usb,4816,5,v5.7
drivers/media/v4l2-core,682,0,v5.7
drivers/memory/samsung,39,0,v5.7
drivers/memory/tegra,115,0,v5.7
drivers/memstick/core,132,0,v5.7
drivers/memstick/host,114,0,v5.7
drivers/message/fusion,379,0,v5.7
drivers/misc/altera-stapl,35,0,v5.7
drivers/misc/c2port,39,0,v5.7
drivers/misc/cardreader,266,0,v5.7
drivers/misc/cb710,23,0,v5.7
drivers/misc/cxl,446,1,v5.7
drivers/misc/echo,9,0,v5.7
drivers/misc/eeprom,97,0,v5.7
drivers/misc/genwqe,169,0,v5.7
drivers/misc/habanalabs,475,1,v5.7
drivers/misc/ibmasm,69,0,v5.7
drivers/misc/lis3lv02d,57,0,v5.7
drivers/misc/lkdtm,114,0,v5.7
drivers/misc/mei,381,0,v5.7
drivers/misc/mic,628,0,v5.7
drivers/misc/ocxl,164,0,v5.7
drivers/misc/sgi-gru,166,0,v5.7
drivers/misc/sgi-xp,148,0,v5.7
drivers/misc/ti-st,58,0,v5.7
drivers/misc/uacce,26,0,v5.7
drivers/misc/vmw_vmci,202,0,v5.7
drivers/mmc/core,674,73,v5.7
drivers/mmc/host,2348,4,v5.7
drivers/mtd/chips,220,0,v5.7
drivers/mtd/devices,264,0,v5.7
drivers/mtd/hyperbus,10,0,v5.7
drivers/mtd/lpddr,40,0,v5.7
drivers/mtd/maps,225,0,v5.7
drivers/mtd/nand,2139,7,v5.7
drivers/mtd/parsers,41,0,v5.7
drivers/mtd/spi-nor,269,0,v5.7
drivers/mtd/tests,94,46,v5.7
drivers/mtd/ubi,288,0,v5.7
drivers/net/appletalk,54,2,v5.7
drivers/net/arcnet,123,4,v5.7
drivers/net/bonding,358,0,v5.7
drivers/net/caif,103,0,v5.7
drivers/net/can,1382,0,v5.7
drivers/net/dsa,1566,0,v5.7
drivers/net/ethernet,43700,118,v5.7
drivers/net/fddi,371,1,v5.7
drivers/net/fjes,98,0,v5.7
drivers/net/hamradio,258,5,v5.7
drivers/net/hippi,21,0,v5.7
drivers/net/hyperv,152,0,v5.7
drivers/net/ieee802154,325,0,v5.7
drivers/net/ipa,346,0,v5.7
drivers/net/ipvlan,92,0,v5.7
drivers/net/netdevsim,171,0,v5.7
drivers/net/phy,1314,3,v5.7
drivers/net/plip,34,0,v5.7
drivers/net/ppp,231,1,v5.7
drivers/net/slip,13,0,v5.7
drivers/net/team,212,0,v5.7
drivers/net/usb,1210,0,v5.7
drivers/net/vmxnet3,112,0,v5.7
drivers/net/wan,622,3,v5.7
drivers/net/wimax,176,0,v5.7
drivers/net/wireguard,198,23,v5.7
drivers/net/wireless,22038,6,v5.7
drivers/net/xen-netback,155,1,v5.7
drivers/nfc/fdp,36,0,v5.7
drivers/nfc/microread,28,0,v5.7
drivers/nfc/nfcmrvl,72,0,v5.7
drivers/nfc/nxp-nci,21,0,v5.7
drivers/nfc/pn533,119,0,v5.7
drivers/nfc/pn544,43,0,v5.7
drivers/nfc/s3fwrn5,36,0,v5.7
drivers/nfc/st-nci,69,0,v5.7
drivers/nfc/st21nfca,80,0,v5.7
drivers/nfc/st95hf,28,0,v5.7
drivers/ntb/hw,277,0,v5.7
drivers/ntb/test,145,3,v5.7
drivers/nvme/host,715,0,v5.7
drivers/nvme/target,532,0,v5.7
drivers/pci/controller,1261,0,v5.7
drivers/pci/endpoint,90,33,v5.7
drivers/pci/hotplug,592,4,v5.7
drivers/pci/pcie,207,0,v5.7
drivers/pci/switch,57,0,v5.7
drivers/perf/hisilicon,78,0,v5.7
drivers/phy/allwinner,36,0,v5.7
drivers/phy/amlogic,44,0,v5.7
drivers/phy/broadcom,128,0,v5.7
drivers/phy/cadence,64,0,v5.7
drivers/phy/freescale,16,0,v5.7
drivers/phy/hisilicon,22,0,v5.7
drivers/phy/intel,6,0,v5.7
drivers/phy/lantiq,15,0,v5.7
drivers/phy/marvell,72,0,v5.7
drivers/phy/mediatek,48,0,v5.7
drivers/phy/motorola,35,0,v5.7
drivers/phy/mscc,12,0,v5.7
drivers/phy/qualcomm,117,0,v5.7
drivers/phy/ralink,6,0,v5.7
drivers/phy/renesas,48,0,v5.7
drivers/phy/rockchip,128,0,v5.7
drivers/phy/samsung,64,0,v5.7
drivers/phy/socionext,30,0,v5.7
drivers/phy/st,62,0,v5.7
drivers/phy/tegra,215,0,v5.7
drivers/phy/ti,128,0,v5.7
drivers/pinctrl/actions,46,0,v5.7
drivers/pinctrl/aspeed,42,0,v5.7
drivers/pinctrl/bcm,173,0,v5.7
drivers/pinctrl/berlin,17,0,v5.7
drivers/pinctrl/cirrus,37,0,v5.7
drivers/pinctrl/freescale,121,0,v5.7
drivers/pinctrl/intel,214,0,v5.7
drivers/pinctrl/mediatek,195,0,v5.7
drivers/pinctrl/meson,44,0,v5.7
drivers/pinctrl/mvebu,95,0,v5.7
drivers/pinctrl/nomadik,97,0,v5.7
drivers/pinctrl/nuvoton,38,0,v5.7
drivers/pinctrl/pxa,19,0,v5.7
drivers/pinctrl/qcom,200,0,v5.7
drivers/pinctrl/samsung,111,0,v5.7
drivers/pinctrl/sh-pfc,118,0,v5.7
drivers/pinctrl/sirf,85,0,v5.7
drivers/pinctrl/spear,51,0,v5.7
drivers/pinctrl/sprd,31,0,v5.7
drivers/pinctrl/stm32,68,0,v5.7
drivers/pinctrl/sunxi,71,0,v5.7
drivers/pinctrl/tegra,69,0,v5.7
drivers/pinctrl/ti,17,0,v5.7
drivers/pinctrl/uniphier,43,0,v5.7
drivers/pinctrl/vt8500,30,0,v5.7
drivers/pinctrl/zte,7,0,v5.7
drivers/platform/chrome,304,3,v5.7
drivers/platform/goldfish,26,0,v5.7
drivers/platform/mellanox,72,0,v5.7
drivers/platform/mips,9,0,v5.7
drivers/platform/olpc,33,0,v5.7
drivers/platform/x86,2299,1,v5.7
drivers/pnp/isapnp,48,0,v5.7
drivers/pnp/pnpacpi,44,0,v5.7
drivers/pnp/pnpbios,67,0,v5.7
drivers/power/avs,84,0,v5.7
drivers/power/reset,114,0,v5.7
drivers/power/supply,1758,3,v5.7
drivers/pps/clients,21,0,v5.7
drivers/pps/generators,7,0,v5.7
drivers/rapidio/devices,148,0,v5.7
drivers/rapidio/switches,51,0,v5.7
drivers/reset/hisilicon,13,0,v5.7
drivers/reset/sti,8,0,v5.7
drivers/reset/tegra,6,0,v5.7
drivers/s390/block,600,1,v5.7
drivers/s390/char,809,1,v5.7
drivers/s390/cio,818,0,v5.7
drivers/s390/crypto,393,0,v5.7
drivers/s390/net,850,1,v5.7
drivers/s390/scsi,345,0,v5.7
drivers/s390/virtio,50,0,v5.7
drivers/sbus/char,125,0,v5.7
drivers/scsi/aacraid,266,0,v5.7
drivers/scsi/aic7xxx,572,1,v5.7
drivers/scsi/aic94xx,218,0,v5.7
drivers/scsi/arcmsr,142,0,v5.7
drivers/scsi/arm,214,0,v5.7
drivers/scsi/be2iscsi,226,0,v5.7
drivers/scsi/bfa,1547,0,v5.7
drivers/scsi/bnx2fc,185,0,v5.7
drivers/scsi/bnx2i,135,0,v5.7
drivers/scsi/csiostor,381,0,v5.7
drivers/scsi/cxgbi,176,0,v5.7
drivers/scsi/cxlflash,235,1,v5.7
drivers/scsi/device_handler,64,0,v5.7
drivers/scsi/esas2r,225,0,v5.7
drivers/scsi/fcoe,198,0,v5.7
drivers/scsi/fnic,219,0,v5.7
drivers/scsi/hisi_sas,335,0,v5.7
drivers/scsi/ibmvscsi,209,0,v5.7
drivers/scsi/ibmvscsi_tgt,103,0,v5.7
drivers/scsi/isci,457,0,v5.7
drivers/scsi/libfc,255,0,v5.7
drivers/scsi/libsas,209,0,v5.7
drivers/scsi/lpfc,1482,0,v5.7
drivers/scsi/megaraid,438,0,v5.7
drivers/scsi/mpt3sas,507,0,v5.7
drivers/scsi/mvsas,160,0,v5.7
drivers/scsi/pcmcia,73,0,v5.7
drivers/scsi/pm8001,245,0,v5.7
drivers/scsi/qedf,175,0,v5.7
drivers/scsi/qedi,205,0,v5.7
drivers/scsi/qla2xxx,1409,0,v5.7
drivers/scsi/qla4xxx,500,0,v5.7
drivers/scsi/smartpqi,313,0,v5.7
drivers/scsi/snic,196,0,v5.7
drivers/scsi/sym53c8xx_2,118,0,v5.7
drivers/scsi/ufs,437,0,v5.7
drivers/sh/clk,62,0,v5.7
drivers/sh/intc,66,0,v5.7
drivers/sh/maple,34,0,v5.7
drivers/sh/superhyway,12,0,v5.7
drivers/soc/actions,7,0,v5.7
drivers/soc/amlogic,41,0,v5.7
drivers/soc/aspeed,25,0,v5.7
drivers/soc/atmel,6,0,v5.7
drivers/soc/bcm,68,0,v5.7
drivers/soc/dove,11,0,v5.7
drivers/soc/fsl,469,27,v5.7
drivers/soc/gemini,1,0,v5.7
drivers/soc/imx,28,0,v5.7
drivers/soc/ixp4xx,37,0,v5.7
drivers/soc/kendryte,7,0,v5.7
drivers/soc/lantiq,1,0,v5.7
drivers/soc/mediatek,69,0,v5.7
drivers/soc/qcom,325,0,v5.7
drivers/soc/renesas,35,0,v5.7
drivers/soc/rockchip,20,0,v5.7
drivers/soc/samsung,30,0,v5.7
drivers/soc/sifive,7,0,v5.7
drivers/soc/sunxi,7,0,v5.7
drivers/soc/tegra,172,0,v5.7
drivers/soc/ti,207,0,v5.7
drivers/soc/ux500,11,0,v5.7
drivers/soc/versatile,13,0,v5.7
drivers/soc/xilinx,23,0,v5.7
drivers/soc/zte,5,0,v5.7
drivers/staging/android,104,1,v5.7
drivers/staging/axis-fifo,29,0,v5.7
drivers/staging/board,11,0,v5.7
drivers/staging/clocking-wizard,5,0,v5.7
drivers/staging/comedi,2233,40,v5.7
drivers/staging/emxx_udc,98,0,v5.7
drivers/staging/fbtft,196,2,v5.7
drivers/staging/fieldbus,108,0,v5.7
drivers/staging/fsl-dpaa2,100,0,v5.7
drivers/staging/fwserial,102,0,v5.7
drivers/staging/gasket,138,0,v5.7
drivers/staging/gdm724x,102,3,v5.7
drivers/staging/goldfish,11,0,v5.7
drivers/staging/greybus,627,4,v5.7
drivers/staging/gs_fpgaboot,28,0,v5.7
drivers/staging/iio,238,0,v5.7
drivers/staging/kpc2000,87,0,v5.7
drivers/staging/ks7010,186,0,v5.7
drivers/staging/media,1762,1,v5.7
drivers/staging/most,212,1,v5.7
drivers/staging/mt7621-dma,28,0,v5.7
drivers/staging/mt7621-pci,31,0,v5.7
drivers/staging/mt7621-pci-phy,11,0,v5.7
drivers/staging/mt7621-pinctrl,12,0,v5.7
drivers/staging/netlogic,43,0,v5.7
drivers/staging/nvec,50,0,v5.7
drivers/staging/octeon,64,0,v5.7
drivers/staging/octeon-usb,58,0,v5.7
drivers/staging/olpc_dcon,44,0,v5.7
drivers/staging/pi433,64,0,v5.7
drivers/staging/qlge,243,0,v5.7
drivers/staging/ralink-gdma,28,0,v5.7
drivers/staging/rtl8188eu,935,1,v5.7
drivers/staging/rtl8192e,601,0,v5.7
drivers/staging/rtl8192u,564,0,v5.7
drivers/staging/rtl8712,592,1,v5.7
drivers/staging/rtl8723bs,1714,1,v5.7
drivers/staging/rts5208,258,0,v5.7
drivers/staging/sm750fb,108,0,v5.7
drivers/staging/speakup,297,0,v5.7
drivers/staging/unisys,86,1,v5.7
drivers/staging/vc04_services,344,0,v5.7
drivers/staging/vme,18,0,v5.7
drivers/staging/vt6655,146,0,v5.7
drivers/staging/vt6656,127,0,v5.7
drivers/staging/wfx,253,0,v5.7
drivers/staging/wilc1000,248,2,v5.7
drivers/staging/wlan-ng,183,0,v5.7
drivers/target/iscsi,649,0,v5.7
drivers/target/loopback,53,0,v5.7
drivers/target/sbp,82,0,v5.7
drivers/target/tcm_fc,69,0,v5.7
drivers/tee/amdtee,31,0,v5.7
drivers/tee/optee,76,0,v5.7
drivers/thermal/broadcom,23,0,v5.7
drivers/thermal/intel,163,0,v5.7
drivers/thermal/qcom,56,0,v5.7
drivers/thermal/samsung,36,0,v5.7
drivers/thermal/st,41,0,v5.7
drivers/thermal/tegra,64,0,v5.7
drivers/thermal/ti-soc-thermal,41,0,v5.7
drivers/tty/hvc,270,1,v5.7
drivers/tty/ipwireless,101,1,v5.7
drivers/tty/serdev,55,0,v5.7
drivers/tty/serial,3810,5,v5.7
drivers/tty/vt,328,1,v5.7
drivers/usb/atm,135,0,v5.7
drivers/usb/c67x00,87,0,v5.7
drivers/usb/cdns3,155,0,v5.7
drivers/usb/chipidea,225,0,v5.7
drivers/usb/class,161,1,v5.7
drivers/usb/common,60,1,v5.7
drivers/usb/core,666,9,v5.7
drivers/usb/dwc2,423,0,v5.7
drivers/usb/dwc3,348,0,v5.7
drivers/usb/early,66,0,v5.7
drivers/usb/gadget,3444,27,v5.7
drivers/usb/host,2028,4,v5.7
drivers/usb/image,34,0,v5.7
drivers/usb/isp1760,116,0,v5.7
drivers/usb/misc,536,27,v5.7
drivers/usb/mon,85,0,v5.7
drivers/usb/mtu3,186,0,v5.7
drivers/usb/musb,442,0,v5.7
drivers/usb/phy,336,3,v5.7
drivers/usb/renesas_usbhs,252,0,v5.7
drivers/usb/roles,23,0,v5.7
drivers/usb/serial,1147,1,v5.7
drivers/usb/storage,369,0,v5.7
drivers/usb/typec,495,0,v5.7
drivers/usb/usbip,214,2,v5.7
drivers/vdpa/ifcvf,57,0,v5.7
drivers/vdpa/vdpa_sim,38,0,v5.7
drivers/vfio/mdev,52,0,v5.7
drivers/vfio/pci,142,0,v5.7
drivers/vfio/platform,52,0,v5.7
drivers/video/backlight,601,0,v5.7
drivers/video/console,156,0,v5.7
drivers/video/fbdev,6058,11,v5.7
drivers/video/logo,19,1,v5.7
drivers/virt/vboxguest,75,0,v5.7
drivers/vme/boards,2,0,v5.7
drivers/vme/bridges,111,0,v5.7
drivers/w1/masters,103,0,v5.7
drivers/w1/slaves,129,0,v5.7
drivers/xen/events,127,0,v5.7
drivers/xen/xen-pciback,136,0,v5.7
drivers/xen/xenbus,183,0,v5.7
drivers/xen/xenfs,18,0,v5.7
fs/btrfs/tests,67,63,v5.7
fs/nfs/blocklayout,94,0,v5.7
fs/nfs/filelayout,53,0,v5.7
fs/nfs/flexfilelayout,133,0,v5.7
fs/notify/dnotify,8,1,v5.7
fs/notify/fanotify,50,0,v5.7
fs/notify/inotify,29,0,v5.7
fs/ocfs2/cluster,254,0,v5.7
fs/ocfs2/dlm,291,0,v5.7
fs/ocfs2/dlmfs,51,0,v5.7
fs/xfs/libxfs,1034,0,v5.7
fs/xfs/scrub,258,0,v5.7
kernel/debug/kdb,113,0,v5.7
lib/raid6/test,4,3,v5.7
net/bluetooth/bnep,38,0,v5.7
net/bluetooth/cmtp,41,0,v5.7
net/bluetooth/hidp,60,0,v5.7
net/bluetooth/rfcomm,160,0,v5.7
net/bridge/netfilter,211,3,v5.7
net/can/j1939,161,0,v5.7
net/ceph/crush,41,2,v5.7
net/dccp/ccids,83,0,v5.7
net/decnet/netfilter,6,0,v5.7
net/ieee802154/6lowpan,67,0,v5.7
net/ipv4/bpfilter,5,0,v5.7
net/ipv4/netfilter,280,2,v5.7
net/ipv6/ila,52,0,v5.7
net/ipv6/netfilter,211,0,v5.7
net/netfilter/ipset,358,2,v5.7
net/netfilter/ipvs,533,0,v5.7
net/nfc/hci,114,0,v5.7
net/nfc/nci,162,0,v5.7
net/sunrpc/auth_gss,293,0,v5.7
net/sunrpc/xprtrdma,238,0,v5.7
samples/mic/mpssd,49,1,v5.7
scripts/dtc/libfdt,124,0,v5.7
scripts/kconfig/lxdialog,57,0,v5.7
scripts/selinux/genheaders,3,0,v5.7
scripts/selinux/mdp,2,0,v5.7
security/integrity/evm,36,0,v5.7
security/integrity/ima,184,0,v5.7
security/integrity/platform_certs,14,0,v5.7
security/keys/encrypted-keys,30,0,v5.7
security/keys/trusted-keys,33,0,v5.7
security/selinux/ss,267,0,v5.7
sound/aoa/codecs,82,0,v5.7
sound/aoa/core,34,0,v5.7
sound/aoa/fabrics,17,0,v5.7
sound/aoa/soundbus,64,0,v5.7
sound/core/oss,196,0,v5.7
sound/core/seq,406,0,v5.7
sound/drivers/mpu401,33,0,v5.7
