directory,non_static,tested,tag
drivers/char,268,3,v5.0
drivers/clk,652,0,v5.0
drivers/clocksource,40,0,v5.0
drivers/connector,18,3,v5.0
drivers/cpufreq,89,0,v5.0
drivers/cpuidle,46,0,v5.0
drivers/crypto,680,0,v5.0
drivers/dax,23,0,v5.0
drivers/dca,16,0,v5.0
drivers/devfreq,39,0,v5.0
drivers/dio,6,0,v5.0
drivers/dma,175,3,v5.0
drivers/dma-buf,46,1,v5.0
drivers/edac,78,0,v5.0
drivers/eisa,3,0,v5.0
drivers/extcon,29,0,v5.0
drivers/firewire,50,0,v5.0
drivers/firmware,274,2,v5.0
drivers/fmc,34,0,v5.0
drivers/fpga,62,0,v5.0
drivers/fsi,17,0,v5.0
drivers/gnss,9,0,v5.0
drivers/gpio,149,0,v5.0
drivers/gpu,10670,52,v5.0
drivers/hid,215,0,v5.0
drivers/hsi,26,0,v5.0
drivers/hv,68,0,v5.0
drivers/hwmon,42,0,v5.0
drivers/hwspinlock,16,0,v5.0
drivers/hwtracing,71,0,v5.0
drivers/i2c,103,6,v5.0
drivers/i3c,33,0,v5.0
drivers/ide,188,0,v5.0
drivers/iio,366,0,v5.0
drivers/infiniband,2652,0,v5.0
drivers/input,279,0,v5.0
drivers/iommu,247,0,v5.0
drivers/ipack,9,0,v5.0
drivers/irqchip,105,0,v5.0
drivers/isdn,604,0,v5.0
drivers/leds,57,0,v5.0
drivers/lightnvm,139,0,v5.0
drivers/macintosh,95,0,v5.0
drivers/mailbox,21,3,v5.0
drivers/mcb,15,0,v5.0
drivers/md,757,0,v5.0
drivers/media,3898,0,v5.0
drivers/memory,39,0,v5.0
drivers/memstick,15,0,v5.0
drivers/message,60,0,v5.0
drivers/mfd,494,0,v5.0
drivers/misc,1061,0,v5.0
drivers/mmc,314,17,v5.0
drivers/mtd,370,13,v5.0
drivers/mux,13,0,v5.0
drivers/net,14956,35,v5.0
drivers/nfc,82,0,v5.0
drivers/ntb,55,0,v5.0
drivers/nubus,23,0,v5.0
drivers/nvdimm,174,8,v5.0
drivers/nvme,145,0,v5.0
drivers/nvmem,28,0,v5.0
drivers/of,228,33,v5.0
drivers/opp,72,0,v5.0
drivers/oprofile,52,0,v5.0
drivers/parisc,41,0,v5.0
drivers/parport,56,0,v5.0
drivers/pci,751,25,v5.0
drivers/pcmcia,81,0,v5.0
drivers/perf,29,0,v5.0
drivers/phy,74,0,v5.0
drivers/pinctrl,213,0,v5.0
drivers/platform,106,0,v5.0
drivers/pnp,86,0,v5.0
drivers/power,59,3,v5.0
drivers/powercap,10,0,v5.0
drivers/pps,9,0,v5.0
drivers/ps3,77,0,v5.0
drivers/ptp,22,0,v5.0
drivers/pwm,27,0,v5.0
drivers/rapidio,63,0,v5.0
drivers/ras,8,0,v5.0
drivers/regulator,114,0,v5.0
drivers/remoteproc,57,0,v5.0
drivers/reset,20,0,v5.0
drivers/rpmsg,21,0,v5.0
drivers/rtc,52,8,v5.0
drivers/s390,856,0,v5.0
drivers/sbus,9,0,v5.0
drivers/scsi,4483,1,v5.0
drivers/sfi,10,0,v5.0
drivers/sh,60,0,v5.0
drivers/siox,6,0,v5.0
drivers/slimbus,25,0,v5.0
drivers/sn,6,0,v5.0
drivers/soc,333,14,v5.0
drivers/soundwire,46,0,v5.0
drivers/spi,86,5,v5.0
drivers/spmi,18,0,v5.0
drivers/ssb,121,0,v5.0
drivers/staging,5048,35,v5.0
drivers/target,485,0,v5.0
drivers/tc,3,0,v5.0
drivers/tee,56,0,v5.0
drivers/thermal,96,0,v5.0
drivers/thunderbolt,116,0,v5.0
drivers/tty,471,0,v5.0
drivers/uio,3,0,v5.0
drivers/usb,1492,8,v5.0
drivers/uwb,144,0,v5.0
drivers/vfio,68,0,v5.0
drivers/vhost,61,19,v5.0
drivers/video,922,0,v5.0
drivers/virt,20,0,v5.0
drivers/virtio,51,9,v5.0
drivers/visorbus,34,0,v5.0
drivers/vlynq,8,0,v5.0
drivers/vme,47,0,v5.0
drivers/w1,42,0,v5.0
drivers/watchdog,25,0,v5.0
drivers/xen,245,0,v5.0
drivers/zorro,6,0,v5.0
fs/9p,55,0,v5.0
fs/adfs,7,0,v5.0
fs/affs,37,0,v5.0
fs/afs,168,0,v5.0
fs/autofs,16,0,v5.0
fs/befs,17,0,v5.0
fs/bfs,2,0,v5.0
fs/btrfs,751,56,v5.0
fs/cachefiles,26,0,v5.0
fs/ceph,171,0,v5.0
fs/cifs,374,0,v5.0
fs/coda,45,0,v5.0
fs/configfs,34,0,v5.0
fs/cramfs,3,0,v5.0
fs/crypto,35,0,v5.0
fs/debugfs,35,5,v5.0
fs/devpts,8,0,v5.0
fs/dlm,142,0,v5.0
fs/ecryptfs,71,0,v5.0
fs/efivarfs,2,0,v5.0
fs/efs,8,0,v5.0
fs/exofs,46,0,v5.0
fs/exportfs,3,0,v5.0
fs/ext2,50,0,v5.0
fs/ext4,282,0,v5.0
fs/f2fs,265,0,v5.0
fs/fat,46,0,v5.0
fs/freevxfs,11,0,v5.0
fs/fscache,63,0,v5.0
fs/fuse,83,0,v5.0
fs/gfs2,193,0,v5.0
fs/hfs,68,0,v5.0
fs/hfsplus,96,0,v5.0
fs/hostfs,25,0,v5.0
fs/hpfs,72,0,v5.0
fs/hugetlbfs,1,0,v5.0
fs/isofs,12,0,v5.0
fs/jbd2,98,0,v5.0
fs/jffs2,171,0,v5.0
fs/jfs,130,0,v5.0
fs/kernfs,46,0,v5.0
fs/lockd,77,0,v5.0
fs/minix,27,0,v5.0
fs/nfs,543,0,v5.0
fs/nfs_common,6,0,v5.0
fs/nfsd,280,0,v5.0
fs/nilfs2,228,0,v5.0
fs/nls,9,0,v5.0
fs/notify,44,0,v5.0
fs/ntfs,86,0,v5.0
fs/ocfs2,555,0,v5.0
fs/omfs,12,0,v5.0
fs/orangefs,59,0,v5.0
fs/overlayfs,116,0,v5.0
fs/proc,99,2,v5.0
fs/pstore,27,0,v5.0
fs/qnx4,4,0,v5.0
fs/qnx6,5,0,v5.0
fs/quota,54,0,v5.0
fs/ramfs,5,0,v5.0
fs/reiserfs,171,0,v5.0
fs/romfs,3,0,v5.0
fs/squashfs,40,0,v5.0
fs/sysfs,38,0,v5.0
fs/sysv,24,0,v5.0
fs/tracefs,6,0,v5.0
fs/ubifs,256,0,v5.0
fs/udf,58,0,v5.0
fs/ufs,39,0,v5.0
fs/xfs,1996,0,v5.0
kernel/bpf,196,3,v5.0
kernel/cgroup,115,0,v5.0
kernel/debug,84,0,v5.0
kernel/dma,88,0,v5.0
kernel/events,136,3,v5.0
kernel/gcov,43,0,v5.0
kernel/irq,254,1,v5.0
kernel/livepatch,25,0,v5.0
kernel/locking,187,7,v5.0
kernel/power,87,1,v5.0
kernel/printk,56,1,v5.0
kernel/rcu,126,3,v5.0
kernel/sched,381,12,v5.0
kernel/time,293,15,v5.0
kernel/trace,494,22,v5.0
lib/842,2,0,v5.0
lib/fonts,2,0,v5.0
lib/lz4,22,0,v5.0
lib/lzo,2,0,v5.0
lib/mpi,31,0,v5.0
lib/raid6,6,1,v5.0
lib/reed_solomon,7,0,v5.0
lib/xz,13,4,v5.0
lib/zlib_deflate,10,0,v5.0
lib/zlib_inflate,9,0,v5.0
lib/zstd,158,0,v5.0
mm/kasan,67,5,v5.0
net/6lowpan,16,0,v5.0
net/802,27,0,v5.0
net/8021q,40,0,v5.0
net/9p,62,0,v5.0
net/appletalk,16,0,v5.0
net/atm,62,0,v5.0
net/ax25,100,0,v5.0
net/batman-adv,235,0,v5.0
net/bluetooth,370,3,v5.0
net/bpf,2,0,v5.0
net/bpfilter,1,0,v5.0
net/bridge,200,0,v5.0
net/caif,62,0,v5.0
net/can,9,0,v5.0
net/ceph,224,0,v5.0
net/core,801,13,v5.0
net/dcb,13,0,v5.0
net/dccp,116,0,v5.0
net/decnet,72,0,v5.0
net/dns_resolver,1,0,v5.0
net/dsa,50,0,v5.0
net/ethernet,20,1,v5.0
net/hsr,26,0,v5.0
net/ieee802154,60,0,v5.0
net/ife,5,0,v5.0
net/ipv4,746,2,v5.0
net/ipv6,456,0,v5.0
net/iucv,21,0,v5.0
net/kcm,2,0,v5.0
net/l2tp,22,0,v5.0
net/l3mdev,7,0,v5.0
net/lapb,34,0,v5.0
net/llc,226,0,v5.0
net/mac80211,545,0,v5.0
net/mac802154,48,0,v5.0
net/mpls,6,0,v5.0
net/ncsi,31,0,v5.0
net/netfilter,485,0,v5.0
net/netlabel,84,0,v5.0
net/netlink,38,0,v5.0
net/netrom,44,0,v5.0
net/nfc,221,0,v5.0
net/nsh,2,0,v5.0
net/openvswitch,99,0,v5.0
net/phonet,38,0,v5.0
net/psample,3,0,v5.0
net/qrtr,3,0,v5.0
net/rds,218,0,v5.0
net/rfkill,22,0,v5.0
net/rose,54,0,v5.0
net/rxrpc,101,0,v5.0
net/sched,115,2,v5.0
net/sctp,391,0,v5.0
net/smc,114,0,v5.0
net/strparser,8,0,v5.0
net/sunrpc,482,0,v5.0
net/switchdev,16,0,v5.0
net/tipc,260,0,v5.0
net/tls,31,0,v5.0
net/unix,10,0,v5.0
net/vmw_vsock,69,0,v5.0
net/wimax,28,0,v5.0
net/wireless,317,0,v5.0
net/x25,60,0,v5.0
net/xdp,24,0,v5.0
net/xfrm,139,0,v5.0
samples/auxdisplay,1,0,v5.0
samples/bpf,167,4,v5.0
samples/connector,1,0,v5.0
samples/hidraw,2,0,v5.0
samples/livepatch,7,0,v5.0
samples/mei,1,0,v5.0
samples/mic,4,0,v5.0
samples/seccomp,7,0,v5.0
samples/statx,1,0,v5.0
samples/timers,5,0,v5.0
samples/trace_events,2,0,v5.0
samples/uhid,1,0,v5.0
samples/vfio-mdev,11,0,v5.0
samples/watchdog,1,0,v5.0
scripts/basic,1,0,v5.0
scripts/dtc,178,0,v5.0
scripts/gcc-plugins,7,0,v5.0
scripts/genksyms,9,0,v5.0
scripts/kconfig,176,0,v5.0
scripts/mod,15,0,v5.0
scripts/selinux,2,0,v5.0
security/apparmor,152,0,v5.0
security/integrity,101,0,v5.0
security/keys,115,0,v5.0
security/loadpin,1,0,v5.0
security/selinux,185,0,v5.0
security/smack,14,0,v5.0
security/tomoyo,89,0,v5.0
security/yama,4,0,v5.0
sound/ac97,9,0,v5.0
sound/aoa,29,0,v5.0
sound/arm,20,0,v5.0
sound/core,458,0,v5.0
sound/drivers,88,0,v5.0
sound/firewire,222,0,v5.0
sound/hda,135,0,v5.0
sound/i2c,42,0,v5.0
sound/isa,155,0,v5.0
sound/mips,10,0,v5.0
sound/oss,2,0,v5.0
sound/pci,831,0,v5.0
sound/pcmcia,12,0,v5.0
sound/ppc,18,0,v5.0
sound/soc,1009,0,v5.0
sound/synth,60,0,v5.0
sound/usb,147,0,v5.0
sound/xen,16,0,v5.0
tools/accounting,1,0,v5.0
tools/bpf,80,0,v5.0
tools/build,65,6,v5.0
tools/cgroup,1,0,v5.0
tools/crypto,1,0,v5.0
tools/firewire,2,0,v5.0
tools/firmware,1,0,v5.0
tools/gpio,18,2,v5.0
tools/hv,7,0,v5.0
tools/iio,26,2,v5.0
tools/laptop,2,0,v5.0
tools/leds,2,0,v5.0
tools/lib,413,70,v5.0
tools/objtool,39,3,v5.0
tools/pci,1,0,v5.0
tools/pcmcia,1,0,v5.0
tools/perf,1751,171,v5.0
tools/power,358,3,v5.0
tools/spi,2,0,v5.0
tools/testing,1265,256,v5.0
tools/thermal,27,1,v5.0
tools/usb,73,0,v5.0
tools/virtio,71,0,v5.0
tools/vm,5,0,v5.0
tools/wmi,1,0,v5.0
virt/kvm,401,0,v5.0
virt/lib,4,0,v5.0
arch/alpha/boot,16,2,v5.0
arch/alpha/kernel,283,12,v5.0
arch/alpha/lib,18,2,v5.0
arch/alpha/math-emu,4,0,v5.0
arch/alpha/mm,13,0,v5.0
arch/alpha/oprofile,2,0,v5.0
arch/arc/kernel,96,3,v5.0
arch/arc/mm,71,2,v5.0
arch/arc/oprofile,2,0,v5.0
arch/arc/plat-eznps,4,0,v5.0
arch/arm/boot,17,10,v5.0
arch/arm/common,51,0,v5.0
arch/arm/crypto,7,0,v5.0
arch/arm/firmware,2,0,v5.0
arch/arm/kernel,291,4,v5.0
arch/arm/kvm,53,0,v5.0
arch/arm/lib,6,0,v5.0
arch/arm/mach-alpine,2,0,v5.0
arch/arm/mach-at91,6,0,v5.0
arch/arm/mach-bcm,4,0,v5.0
arch/arm/mach-cns3xxx,15,0,v5.0
arch/arm/mach-davinci,90,0,v5.0
arch/arm/mach-dove,22,0,v5.0
arch/arm/mach-ebsa110,25,0,v5.0
arch/arm/mach-ep93xx,39,0,v5.0
arch/arm/mach-exynos,22,0,v5.0
arch/arm/mach-footbridge,19,0,v5.0
arch/arm/mach-highbank,2,0,v5.0
arch/arm/mach-hisi,8,0,v5.0
arch/arm/mach-imx,136,0,v5.0
arch/arm/mach-integrator,10,0,v5.0
arch/arm/mach-iop13xx,21,0,v5.0
arch/arm/mach-iop32x,8,0,v5.0
arch/arm/mach-iop33x,1,0,v5.0
arch/arm/mach-ixp4xx,50,0,v5.0
arch/arm/mach-keystone,1,0,v5.0
arch/arm/mach-ks8695,9,0,v5.0
arch/arm/mach-lpc32xx,4,0,v5.0
arch/arm/mach-mmp,29,0,v5.0
arch/arm/mach-mv78xx0,23,0,v5.0
arch/arm/mach-mvebu,17,0,v5.0
arch/arm/mach-mxs,1,0,v5.0
arch/arm/mach-netx,18,0,v5.0
arch/arm/mach-nspire,3,0,v5.0
arch/arm/mach-omap1,105,0,v5.0
arch/arm/mach-omap2,456,0,v5.0
arch/arm/mach-orion5x,31,0,v5.0
arch/arm/mach-oxnas,2,0,v5.0
arch/arm/mach-prima2,9,0,v5.0
arch/arm/mach-pxa,108,0,v5.0
arch/arm/mach-rockchip,1,0,v5.0
arch/arm/mach-rpc,12,0,v5.0
arch/arm/mach-s3c24xx,57,0,v5.0
arch/arm/mach-s3c64xx,34,0,v5.0
arch/arm/mach-s5pv210,1,0,v5.0
arch/arm/mach-sa1100,52,0,v5.0
arch/arm/mach-shmobile,11,0,v5.0
arch/arm/mach-socfpga,4,0,v5.0
arch/arm/mach-spear,12,0,v5.0
arch/arm/mach-tango,1,0,v5.0
arch/arm/mach-tegra,23,0,v5.0
arch/arm/mach-u300,1,0,v5.0
arch/arm/mach-ux500,9,0,v5.0
arch/arm/mach-versatile,1,0,v5.0
arch/arm/mach-vexpress,7,0,v5.0
arch/arm/mach-w90x900,31,0,v5.0
arch/arm/mach-zx,1,0,v5.0
arch/arm/mach-zynq,8,0,v5.0
arch/arm/mm,171,5,v5.0
arch/arm/net,2,0,v5.0
arch/arm/nwfpe,83,0,v5.0
arch/arm/oprofile,3,0,v5.0
arch/arm/plat-iop,11,0,v5.0
arch/arm/plat-omap,31,0,v5.0
arch/arm/plat-orion,44,0,v5.0
arch/arm/plat-pxa,10,0,v5.0
arch/arm/plat-samsung,78,0,v5.0
arch/arm/plat-versatile,4,0,v5.0
arch/arm/probes,69,3,v5.0
arch/arm/vdso,6,0,v5.0
arch/arm/vfp,13,0,v5.0
arch/arm/xen,27,0,v5.0
arch/arm64/crypto,2,0,v5.0
arch/arm64/kernel,366,2,v5.0
arch/arm64/kvm,86,0,v5.0
arch/arm64/lib,11,0,v5.0
arch/arm64/mm,108,1,v5.0
arch/arm64/net,3,0,v5.0
arch/c6x/kernel,38,2,v5.0
arch/c6x/lib,1,0,v5.0
arch/c6x/mm,9,0,v5.0
arch/c6x/platforms,37,0,v5.0
arch/csky/abiv1,7,1,v5.0
arch/csky/abiv2,8,0,v5.0
arch/csky/kernel,58,1,v5.0
arch/csky/lib,11,1,v5.0
arch/csky/mm,45,3,v5.0
arch/h8300/boot,3,2,v5.0
arch/h8300/kernel,46,1,v5.0
arch/h8300/lib,9,0,v5.0
arch/h8300/mm,9,0,v5.0
arch/hexagon/kernel,70,2,v5.0
arch/hexagon/lib,8,0,v5.0
arch/hexagon/mm,27,1,v5.0
arch/ia64/dig,1,0,v5.0
arch/ia64/hp,13,0,v5.0
arch/ia64/kernel,334,5,v5.0
arch/ia64/lib,24,2,v5.0
arch/ia64/mm,63,2,v5.0
arch/ia64/oprofile,5,0,v5.0
arch/ia64/pci,15,0,v5.0
arch/ia64/sn,127,0,v5.0
arch/ia64/uv,1,0,v5.0
arch/m68k/68000,10,0,v5.0
arch/m68k/amiga,19,0,v5.0
arch/m68k/apollo,15,0,v5.0
arch/m68k/atari,43,0,v5.0
arch/m68k/bvme6000,7,0,v5.0
arch/m68k/coldfire,61,0,v5.0
arch/m68k/emu,3,0,v5.0
arch/m68k/hp300,4,0,v5.0
arch/m68k/kernel,78,0,v5.0
arch/m68k/lib,13,3,v5.0
arch/m68k/mac,50,0,v5.0
arch/m68k/math-emu,44,0,v5.0
arch/m68k/mm,31,2,v5.0
arch/m68k/mvme147,7,0,v5.0
arch/m68k/mvme16x,8,0,v5.0
arch/m68k/q40,7,0,v5.0
arch/m68k/sun3,40,0,v5.0
arch/m68k/sun3x,17,0,v5.0
arch/m68k/tools,1,0,v5.0
arch/microblaze/kernel,61,2,v5.0
arch/microblaze/lib,9,3,v5.0
arch/microblaze/mm,24,1,v5.0
arch/microblaze/oprofile,2,0,v5.0
arch/microblaze/pci,21,1,v5.0
arch/mips/alchemy,71,0,v5.0
arch/mips/ar7,23,0,v5.0
arch/mips/ath25,22,0,v5.0
arch/mips/ath79,30,0,v5.0
arch/mips/bcm47xx,17,0,v5.0
arch/mips/bcm63xx,52,0,v5.0
arch/mips/bmips,11,0,v5.0
arch/mips/boot,17,4,v5.0
arch/mips/cavium-octeon,163,0,v5.0
arch/mips/cobalt,9,0,v5.0
arch/mips/dec,33,0,v5.0
arch/mips/emma,14,0,v5.0
arch/mips/fw,75,0,v5.0
arch/mips/generic,16,0,v5.0
arch/mips/jazz,20,0,v5.0
arch/mips/jz4740,11,0,v5.0
arch/mips/kernel,332,2,v5.0
arch/mips/kvm,164,0,v5.0
arch/mips/lantiq,66,0,v5.0
arch/mips/lasat,36,0,v5.0
arch/mips/lib,23,0,v5.0
arch/mips/loongson32,15,0,v5.0
arch/mips/loongson64,96,0,v5.0
arch/mips/math-emu,57,0,v5.0
arch/mips/mm,137,2,v5.0
arch/mips/mti-malta,19,0,v5.0
arch/mips/net,4,0,v5.0
arch/mips/netlogic,48,0,v5.0
arch/mips/oprofile,3,0,v5.0
arch/mips/paravirt,9,0,v5.0
arch/mips/pci,130,0,v5.0
arch/mips/pic32,21,0,v5.0
arch/mips/pistachio,13,0,v5.0
arch/mips/pmcs-msp71xx,39,0,v5.0
arch/mips/pnx833x,14,0,v5.0
arch/mips/power,4,0,v5.0
arch/mips/ralink,38,0,v5.0
arch/mips/rb532,15,0,v5.0
arch/mips/sgi-ip22,28,0,v5.0
arch/mips/sgi-ip27,46,0,v5.0
arch/mips/sgi-ip32,13,0,v5.0
arch/mips/sibyte,37,0,v5.0
arch/mips/sni,22,0,v5.0
arch/mips/tools,1,0,v5.0
arch/mips/txx9,89,0,v5.0
arch/mips/vdso,3,0,v5.0
arch/mips/vr41xx,35,0,v5.0
arch/nds32/kernel,96,2,v5.0
arch/nds32/math-emu,17,0,v5.0
arch/nds32/mm,70,3,v5.0
arch/nios2/boot,3,2,v5.0
arch/nios2/kernel,57,2,v5.0
arch/nios2/lib,8,3,v5.0
arch/nios2/mm,47,0,v5.0
arch/openrisc/kernel,78,2,v5.0
arch/openrisc/lib,6,1,v5.0
arch/openrisc/mm,19,1,v5.0
arch/parisc/boot,12,10,v5.0
arch/parisc/kernel,251,1,v5.0
arch/parisc/lib,44,11,v5.0
arch/parisc/math-emu,48,0,v5.0
arch/parisc/mm,23,1,v5.0
arch/parisc/oprofile,2,0,v5.0
arch/powerpc/boot,120,5,v5.0
arch/powerpc/kernel,746,10,v5.0
arch/powerpc/kvm,479,0,v5.0
arch/powerpc/lib,65,2,v5.0
arch/powerpc/math-emu,48,6,v5.0
arch/powerpc/mm,361,3,v5.0
arch/powerpc/net,4,0,v5.0
arch/powerpc/oprofile,14,0,v5.0
arch/powerpc/perf,24,0,v5.0
arch/powerpc/platforms,741,0,v5.0
arch/powerpc/sysdev,223,0,v5.0
arch/powerpc/xmon,20,0,v5.0
arch/riscv/kernel,72,2,v5.0
arch/riscv/lib,3,1,v5.0
arch/riscv/mm,10,1,v5.0
arch/s390/appldata,3,0,v5.0
arch/s390/boot,17,3,v5.0
arch/s390/crypto,3,0,v5.0
arch/s390/hypfs,17,0,v5.0
arch/s390/kernel,295,2,v5.0
arch/s390/kvm,131,0,v5.0
arch/s390/lib,38,10,v5.0
arch/s390/mm,137,0,v5.0
arch/s390/net,2,0,v5.0
arch/s390/numa,13,0,v5.0
arch/s390/oprofile,2,0,v5.0
arch/s390/pci,56,1,v5.0
arch/s390/purgatory,1,0,v5.0
arch/s390/tools,2,0,v5.0
arch/sh/boards,41,0,v5.0
arch/sh/boot,7,2,v5.0
arch/sh/cchips,1,0,v5.0
arch/sh/drivers,44,1,v5.0
arch/sh/kernel,409,10,v5.0
arch/sh/lib,10,0,v5.0
arch/sh/lib64,5,0,v5.0
arch/sh/math-emu,1,0,v5.0
arch/sh/mm,137,0,v5.0
arch/sh/oprofile,4,0,v5.0
arch/sparc/boot,1,0,v5.0
arch/sparc/kernel,537,4,v5.0
arch/sparc/lib,24,2,v5.0
arch/sparc/math-emu,2,0,v5.0
arch/sparc/mm,109,0,v5.0
arch/sparc/net,3,0,v5.0
arch/sparc/oprofile,2,0,v5.0
arch/sparc/power,3,0,v5.0
arch/sparc/prom,81,0,v5.0
arch/sparc/vdso,7,0,v5.0
arch/um/drivers,131,0,v5.0
arch/um/kernel,120,4,v5.0
arch/um/os-Linux,138,3,v5.0
arch/unicore32/boot,3,2,v5.0
arch/unicore32/kernel,80,3,v5.0
arch/unicore32/mm,33,0,v5.0
arch/x86/boot,64,13,v5.0
arch/x86/crypto,44,0,v5.0
arch/x86/entry,24,0,v5.0
arch/x86/events,126,0,v5.0
arch/x86/hyperv,17,0,v5.0
arch/x86/ia32,5,0,v5.0
arch/x86/kernel,1028,5,v5.0
arch/x86/kvm,415,0,v5.0
arch/x86/lib,96,16,v5.0
arch/x86/math-emu,122,0,v5.0
arch/x86/mm,322,7,v5.0
arch/x86/net,2,0,v5.0
arch/x86/oprofile,8,0,v5.0
arch/x86/pci,81,0,v5.0
arch/x86/platform,117,3,v5.0
arch/x86/power,9,0,v5.0
arch/x86/purgatory,3,2,v5.0
arch/x86/realmode,3,0,v5.0
arch/x86/tools,5,1,v5.0
arch/x86/um,73,1,v5.0
arch/x86/video,1,0,v5.0
arch/x86/xen,142,0,v5.0
arch/xtensa/boot,3,1,v5.0
arch/xtensa/kernel,121,2,v5.0
arch/xtensa/lib,1,0,v5.0
arch/xtensa/mm,32,0,v5.0
arch/xtensa/oprofile,3,0,v5.0
arch/xtensa/platforms,25,0,v5.0
drivers/accessibility/braille,2,0,v5.0
drivers/acpi/acpica,721,11,v5.0
drivers/acpi/apei,34,0,v5.0
drivers/acpi/arm64,16,0,v5.0
drivers/acpi/dptf,1,0,v5.0
drivers/acpi/nfit,13,6,v5.0
drivers/acpi/pmic,1,0,v5.0
drivers/acpi/x86,2,0,v5.0
drivers/base/firmware_loader,14,2,v5.0
drivers/base/power,197,0,v5.0
drivers/base/regmap,97,0,v5.0
drivers/block/aoe,35,0,v5.0
drivers/block/drbd,295,0,v5.0
drivers/block/paride,14,0,v5.0
drivers/block/rsxx,37,0,v5.0
drivers/block/xen-blkback,9,0,v5.0
drivers/block/zram,10,0,v5.0
drivers/bus/fsl-mc,59,0,v5.0
drivers/char/agp,66,0,v5.0
drivers/char/hw_random,4,0,v5.0
drivers/char/ipmi,47,0,v5.0
drivers/char/mwave,28,0,v5.0
drivers/char/pcmcia,2,0,v5.0
drivers/char/tpm,69,0,v5.0
drivers/char/xilinx_hwicap,9,0,v5.0
drivers/char/xillybus,4,0,v5.0
drivers/clk/actions,12,0,v5.0
drivers/clk/at91,29,0,v5.0
drivers/clk/bcm,7,0,v5.0
drivers/clk/berlin,4,0,v5.0
drivers/clk/davinci,25,0,v5.0
drivers/clk/hisilicon,15,0,v5.0
drivers/clk/imx,32,0,v5.0
drivers/clk/ingenic,7,0,v5.0
drivers/clk/loongson1,3,0,v5.0
drivers/clk/mediatek,12,0,v5.0
drivers/clk/meson,4,0,v5.0
drivers/clk/microchip,5,0,v5.0
drivers/clk/mmp,17,0,v5.0
drivers/clk/mvebu,4,0,v5.0
drivers/clk/mxs,7,0,v5.0
drivers/clk/pistachio,8,0,v5.0
drivers/clk/pxa,13,0,v5.0
drivers/clk/qcom,21,0,v5.0
drivers/clk/renesas,14,0,v5.0
drivers/clk/rockchip,16,0,v5.0
drivers/clk/samsung,23,0,v5.0
drivers/clk/socfpga,10,0,v5.0
drivers/clk/spear,9,0,v5.0
drivers/clk/sprd,7,0,v5.0
drivers/clk/sunxi,3,0,v5.0
drivers/clk/sunxi-ng,24,0,v5.0
drivers/clk/tegra,67,0,v5.0
drivers/clk/ti,72,0,v5.0
drivers/clk/uniphier,5,0,v5.0
drivers/clk/ux500,11,0,v5.0
drivers/clk/versatile,5,0,v5.0
drivers/clk/x86,1,0,v5.0
drivers/clk/zte,2,0,v5.0
drivers/clk/zynq,2,0,v5.0
drivers/clk/zynqmp,5,0,v5.0
drivers/crypto/amcc,31,0,v5.0
drivers/crypto/bcm,57,0,v5.0
drivers/crypto/caam,50,0,v5.0
drivers/crypto/cavium,89,0,v5.0
drivers/crypto/ccp,57,0,v5.0
drivers/crypto/ccree,59,0,v5.0
drivers/crypto/chelsio,45,0,v5.0
drivers/crypto/hisilicon,8,0,v5.0
drivers/crypto/inside-secure,17,0,v5.0
drivers/crypto/marvell,14,0,v5.0
drivers/crypto/mediatek,4,0,v5.0
drivers/crypto/nx,20,0,v5.0
drivers/crypto/qat,125,0,v5.0
drivers/crypto/qce,10,0,v5.0
drivers/crypto/sunxi-ss,28,0,v5.0
drivers/crypto/ux500,22,0,v5.0
drivers/crypto/virtio,16,0,v5.0
drivers/crypto/vmx,2,0,v5.0
drivers/dma/bestcomm,29,0,v5.0
drivers/dma/dw,5,0,v5.0
drivers/dma/hsu,4,0,v5.0
drivers/dma/ioat,26,0,v5.0
drivers/dma/ipu,5,0,v5.0
drivers/dma/ppc4xx,1,0,v5.0
drivers/dma/qcom,20,0,v5.0
drivers/dma/sh,7,0,v5.0
drivers/dma/ti,2,0,v5.0
drivers/dma/xilinx,1,0,v5.0
drivers/firmware/arm_scmi,15,0,v5.0
drivers/firmware/broadcom,6,0,v5.0
drivers/firmware/efi,112,2,v5.0
drivers/firmware/google,6,0,v5.0
drivers/firmware/imx,4,0,v5.0
drivers/firmware/meson,3,0,v5.0
drivers/firmware/tegra,19,0,v5.0
drivers/firmware/xilinx,4,0,v5.0
drivers/gpu/drm,10404,52,v5.0
drivers/gpu/host1x,81,0,v5.0
drivers/gpu/ipu-v3,165,0,v5.0
drivers/gpu/vga,20,0,v5.0
drivers/hid/i2c-hid,2,0,v5.0
drivers/hid/intel-ish-hid,75,0,v5.0
drivers/hid/usbhid,7,0,v5.0
drivers/hsi/clients,5,0,v5.0
drivers/hsi/controllers,2,0,v5.0
drivers/hwmon/occ,5,0,v5.0
drivers/hwmon/pmbus,18,0,v5.0
drivers/hwtracing/coresight,40,0,v5.0
drivers/hwtracing/intel_th,10,0,v5.0
drivers/hwtracing/stm,21,0,v5.0
drivers/i2c/algos,5,0,v5.0
drivers/i2c/busses,27,0,v5.0
drivers/i3c/master,23,0,v5.0
drivers/iio/accel,33,0,v5.0
drivers/iio/adc,22,0,v5.0
drivers/iio/buffer,35,0,v5.0
drivers/iio/chemical,1,0,v5.0
drivers/iio/common,72,0,v5.0
