directory,non_static,tested,tag
arch/m68k/sun3,39,0,v3.0
arch/m68k/sun3x,17,0,v3.0
arch/m68k/tools,1,0,v3.0
arch/microblaze/kernel,92,2,v3.0
arch/microblaze/lib,7,2,v3.0
arch/microblaze/mm,24,1,v3.0
arch/microblaze/oprofile,2,0,v3.0
arch/microblaze/pci,43,0,v3.0
arch/mips/alchemy,78,0,v3.0
arch/mips/ar7,19,0,v3.0
arch/mips/ath79,32,0,v3.0
arch/mips/bcm47xx,13,0,v3.0
arch/mips/bcm63xx,43,0,v3.0
arch/mips/boot,12,3,v3.0
arch/mips/cavium-octeon,76,0,v3.0
arch/mips/cobalt,10,0,v3.0
arch/mips/dec,33,0,v3.0
arch/mips/emma,14,0,v3.0
arch/mips/fw,71,0,v3.0
arch/mips/jazz,20,0,v3.0
arch/mips/jz4740,61,0,v3.0
arch/mips/kernel,306,2,v3.0
arch/mips/lantiq,57,0,v3.0
arch/mips/lasat,37,0,v3.0
arch/mips/lib,31,6,v3.0
arch/mips/loongson,66,0,v3.0
arch/mips/math-emu,78,0,v3.0
arch/mips/mipssim,11,0,v3.0
arch/mips/mm,119,0,v3.0
arch/mips/mti-malta,29,0,v3.0
arch/mips/netlogic,26,0,v3.0
arch/mips/nxp,2,0,v3.0
arch/mips/oprofile,2,0,v3.0
arch/mips/pci,112,0,v3.0
arch/mips/pmc-sierra,65,0,v3.0
arch/mips/pnx833x,14,0,v3.0
arch/mips/pnx8550,22,0,v3.0
arch/mips/power,3,0,v3.0
arch/mips/powertv,32,0,v3.0
arch/mips/rb532,15,0,v3.0
arch/mips/sgi-ip22,17,0,v3.0
arch/mips/sgi-ip27,43,0,v3.0
arch/mips/sgi-ip32,10,0,v3.0
arch/mips/sibyte,36,0,v3.0
arch/mips/sni,23,0,v3.0
arch/mips/txx9,96,0,v3.0
arch/mips/vr41xx,35,0,v3.0
arch/mips/wrppmc,14,0,v3.0
arch/mn10300/boot,8,0,v3.0
arch/mn10300/kernel,151,1,v3.0
arch/mn10300/lib,21,0,v3.0
arch/mn10300/mm,50,0,v3.0
arch/mn10300/oprofile,2,0,v3.0
arch/mn10300/proc-mn103e010,2,0,v3.0
arch/mn10300/proc-mn2ws0050,2,0,v3.0
arch/mn10300/unit-asb2303,5,0,v3.0
arch/mn10300/unit-asb2305,24,0,v3.0
arch/mn10300/unit-asb2364,8,0,v3.0
arch/parisc/hpux,23,0,v3.0
arch/parisc/kernel,255,2,v3.0
arch/parisc/lib,42,9,v3.0
arch/parisc/math-emu,48,0,v3.0
arch/parisc/mm,14,1,v3.0
arch/parisc/oprofile,2,0,v3.0
arch/powerpc/boot,133,3,v3.0
arch/powerpc/kernel,649,9,v3.0
arch/powerpc/kvm,197,0,v3.0
arch/powerpc/lib,35,2,v3.0
arch/powerpc/math-emu,46,0,v3.0
arch/powerpc/mm,194,2,v3.0
arch/powerpc/oprofile,15,0,v3.0
arch/powerpc/platforms,648,0,v3.0
arch/powerpc/sysdev,244,0,v3.0
arch/powerpc/xmon,24,0,v3.0
arch/s390/appldata,3,0,v3.0
arch/s390/boot,5,2,v3.0
arch/s390/crypto,2,0,v3.0
arch/s390/hypfs,13,0,v3.0
arch/s390/kernel,245,2,v3.0
arch/s390/kvm,51,0,v3.0
arch/s390/lib,43,7,v3.0
arch/s390/math-emu,12,0,v3.0
arch/s390/mm,58,0,v3.0
arch/s390/oprofile,14,0,v3.0
arch/score/kernel,69,1,v3.0
arch/score/lib,7,0,v3.0
arch/score/mm,29,0,v3.0
arch/sh/boards,45,0,v3.0
arch/sh/boot,6,2,v3.0
arch/sh/cchips,1,0,v3.0
arch/sh/drivers,51,0,v3.0
arch/sh/kernel,458,9,v3.0
arch/sh/lib,10,0,v3.0
arch/sh/lib64,9,0,v3.0
arch/sh/math-emu,2,0,v3.0
arch/sh/mm,143,0,v3.0
arch/sh/oprofile,4,0,v3.0
arch/sparc/boot,2,0,v3.0
arch/sparc/kernel,610,5,v3.0
arch/sparc/lib,26,1,v3.0
arch/sparc/math-emu,2,0,v3.0
arch/sparc/mm,105,0,v3.0
arch/sparc/oprofile,2,0,v3.0
arch/sparc/prom,82,0,v3.0
arch/tile/kernel,170,3,v3.0
arch/tile/lib,57,6,v3.0
arch/tile/mm,69,1,v3.0
arch/um/drivers,116,0,v3.0
arch/um/kernel,143,4,v3.0
arch/um/os-Linux,146,1,v3.0
arch/um/sys-i386,45,0,v3.0
arch/um/sys-ppc,8,0,v3.0
arch/um/sys-x86_64,28,0,v3.0
arch/unicore32/boot,3,2,v3.0
arch/unicore32/kernel,99,2,v3.0
arch/unicore32/mm,34,0,v3.0
arch/x86/boot,40,6,v3.0
arch/x86/crypto,4,0,v3.0
arch/x86/ia32,43,0,v3.0
arch/x86/kernel,751,2,v3.0
arch/x86/kvm,191,0,v3.0
arch/x86/lguest,2,0,v3.0
arch/x86/lib,80,7,v3.0
arch/x86/math-emu,110,0,v3.0
arch/x86/mm,265,5,v3.0
arch/x86/net,2,0,v3.0
arch/x86/oprofile,9,0,v3.0
arch/x86/pci,68,0,v3.0
arch/x86/platform,56,0,v3.0
arch/x86/power,8,0,v3.0
arch/x86/tools,1,0,v3.0
arch/x86/vdso,13,0,v3.0
arch/x86/video,1,0,v3.0
arch/x86/xen,77,0,v3.0
arch/xtensa/boot,3,0,v3.0
arch/xtensa/kernel,82,1,v3.0
arch/xtensa/lib,1,0,v3.0
arch/xtensa/mm,22,0,v3.0
arch/xtensa/platforms,21,0,v3.0
arch/xtensa/variants,9,0,v3.0
drivers/accessibility/braille,2,0,v3.0
drivers/acpi/acpica,516,0,v3.0
drivers/acpi/apei,31,0,v3.0
drivers/base/power,92,0,v3.0
drivers/block/aoe,25,0,v3.0
drivers/block/drbd,191,0,v3.0
drivers/block/paride,12,0,v3.0
drivers/block/xen-blkback,9,0,v3.0
drivers/char/agp,70,0,v3.0
drivers/char/hw_random,2,0,v3.0
drivers/char/ipmi,27,0,v3.0
drivers/char/mwave,28,0,v3.0
drivers/char/pcmcia,2,0,v3.0
drivers/char/tpm,30,0,v3.0
drivers/char/xilinx_hwicap,9,0,v3.0
drivers/crypto/amcc,23,0,v3.0
drivers/crypto/caam,6,0,v3.0
drivers/dma/ioat,34,0,v3.0
drivers/dma/ipu,5,0,v3.0
drivers/dma/ppc4xx,1,0,v3.0
drivers/gpu/drm,2078,9,v3.0
drivers/gpu/vga,11,0,v3.0
drivers/hid/usbhid,17,0,v3.0
drivers/i2c/algos,5,0,v3.0
drivers/i2c/busses,4,0,v3.0
drivers/infiniband/core,227,0,v3.0
drivers/infiniband/hw,962,0,v3.0
drivers/infiniband/ulp,91,0,v3.0
drivers/input/gameport,9,0,v3.0
drivers/input/joystick,11,0,v3.0
drivers/input/misc,12,0,v3.0
drivers/input/mouse,27,0,v3.0
drivers/input/serio,40,0,v3.0
drivers/input/tablet,3,0,v3.0
drivers/input/touchscreen,14,0,v3.0
drivers/isdn/act2000,19,0,v3.0
drivers/isdn/capi,38,0,v3.0
drivers/isdn/divert,10,0,v3.0
drivers/isdn/gigaset,81,0,v3.0
drivers/isdn/hardware,257,1,v3.0
drivers/isdn/hisax,178,0,v3.0
drivers/isdn/hysdn,28,0,v3.0
drivers/isdn/i4l,100,0,v3.0
drivers/isdn/mISDN,132,0,v3.0
drivers/isdn/pcbit,38,0,v3.0
drivers/isdn/sc,18,1,v3.0
drivers/lguest/x86,7,0,v3.0
drivers/macintosh/ams,8,0,v3.0
drivers/media/common,76,0,v3.0
drivers/media/dvb,593,0,v3.0
drivers/media/radio,72,0,v3.0
drivers/media/rc,39,0,v3.0
drivers/media/video,1641,12,v3.0
drivers/memstick/core,14,0,v3.0
drivers/memstick/host,1,0,v3.0
drivers/message/fusion,65,0,v3.0
drivers/message/i2o,47,0,v3.0
drivers/misc/c2port,2,0,v3.0
drivers/misc/cb710,5,0,v3.0
drivers/misc/eeprom,2,0,v3.0
drivers/misc/ibmasm,33,0,v3.0
drivers/misc/iwmc3200top,15,0,v3.0
drivers/misc/lis3lv02d,6,0,v3.0
drivers/misc/sgi-gru,64,0,v3.0
drivers/misc/sgi-xp,43,0,v3.0
drivers/misc/ti-st,31,0,v3.0
drivers/mmc/card,7,0,v3.0
drivers/mmc/core,141,10,v3.0
drivers/mmc/host,31,0,v3.0
drivers/mtd/chips,15,0,v3.0
drivers/mtd/devices,7,0,v3.0
